_id,geometry,locality,placeName,placeNameId
5b418df63d88413b6ca9d940,"{""type"": ""MultiPoint"", ""coordinates"": [[172.63192630717296, -43.4466431026937]]}",Belfast,Salvation Army Pensioner Flats,1081
5b418df63d88413b6ca9d928,"{""type"": ""MultiPoint"", ""coordinates"": [[172.573682492233, -43.583880319483]]}",Halswell,Sparks Walkway,1028
5b418df63d88413b6ca9d949,"{""type"": ""MultiPoint"", ""coordinates"": [[172.613353579836, -43.4764719272547]]}",Redwood,Redwood Park,1094
5b418df63d88413b6ca9d957,"{""type"": ""MultiPoint"", ""coordinates"": [[172.660475827467, -43.5122672131247]]}",Richmond,Shirley Boys High School,1126
5b418df63d88413b6ca9d91f,"{""type"": ""MultiPoint"", ""coordinates"": [[172.522592364077, -43.53857924075919]]}",Hei Hei,Hornby Primary School,1015
5b418df63d88413b6ca9d92d,"{""type"": ""MultiPoint"", ""coordinates"": [[172.54382083166698, -43.5103084637909]]}",Avonhead,Avonhead Park,1036
5b418df63d88413b6ca9d934,"{""type"": ""MultiPoint"", ""coordinates"": [[172.65728542151697, -43.53830446238949]]}",Phillipstown,Cross Reserve,105
5b418df63d88413b6ca9d953,"{""type"": ""MultiPoint"", ""coordinates"": [[172.569186496215, -43.5617896281715]]}",Oaklands,Hogben School,1119
5b418df63d88413b6ca9d93e,"{""type"": ""MultiPoint"", ""coordinates"": [[172.685498484954, -43.4998631945248]]}",Burwood,Burwood School,1079
5b418df63d88413b6ca9d956,"{""type"": ""MultiPoint"", ""coordinates"": [[172.709476086595, -43.5812573766634]]}",Heathcote,Birdsey Reserve,1125
5b418df63d88413b6ca9d923,"{""type"": ""MultiPoint"", ""coordinates"": [[172.703968158556, -43.4770838795263]]}",Queenspark,Evergreen Reserve,1019
5b418df63d88413b6ca9d92c,"{""type"": ""MultiPoint"", ""coordinates"": [[172.62113754413997, -43.5298567593044]]}",Central City,Botanic Gardens,1033
5b418df63d88413b6ca9d92f,"{""type"": ""MultiPoint"", ""coordinates"": [[172.710097949951, -43.4795487769302]]}",Queenspark,Crofts Reserve,104
5b418df63d88413b6ca9d933,"{""type"": ""MultiPoint"", ""coordinates"": [[172.57826737615096, -43.5136180059947]]}",Ilam,Ryeland Reserve,1049
5b418df63d88413b6ca9d930,"{""type"": ""MultiPoint"", ""coordinates"": [[172.638344267676, -43.5234994908413]]}",Central City,Maryville Courts,1040
5b418df63d88413b6ca9d94e,"{""type"": ""MultiPoint"", ""coordinates"": [[172.554671059523, -43.530286294307]]}",Upper Riccarton,Doncaster Reserve,111
5b418df63d88413b6ca9d925,"{""type"": ""MultiPoint"", ""coordinates"": [[172.702347247948, -43.53378813056]]}",Bromley,Francella Reserve,1021
5b418df63d88413b6ca9d922,"{""type"": ""MultiPoint"", ""coordinates"": [[172.625485198349, -43.46700906993419]]}",Redwood,Vaughan Reserve,1018
5b418df63d88413b6ca9d927,"{""type"": ""MultiPoint"", ""coordinates"": [[172.708083423134, -43.57434519254329]]}",Heathcote,Cooks Reserve,1027
